tree_idx,PCA (Phase 1),PointNet++ (Phase 2)
0,0.7534,0.9839
1,0.7937,0.9840
2,0.7905,0.9727
3,0.7878,0.9751
4,0.7261,0.9681
5,0.7767,0.9842
6,0.7592,0.9770
7,0.7847,0.9843
8,0.7806,0.9835
9,0.7748,0.9737
10,0.7703,0.9844
11,0.7327,0.9606
